DMY,Current_Price,Open,High,Low,Volume,% Changes
1/2/2020,"2,368.91","2,350.41","2,373.91","2,348.22",2.38B,1.14%
1/3/2020,"2,365.86","2,369.87","2,382.15","2,361.84",2.17B,-0.13%
1/6/2020,"2,325.75","2,348.77","2,352.38","2,320.80",2.89B,-1.70%
1/7/2020,"2,351.25","2,343.05","2,351.50","2,325.22",2.29B,1.10%
1/8/2020,"2,309.88","2,326.05","2,331.21","2,303.62",2.63B,-1.76%
1/9/2020,"2,341.48","2,331.73","2,345.33","2,322.70",2.42B,1.37%
1/10/2020,"2,341.72","2,346.96","2,348.33","2,330.27",1.73B,0.01%
01/13/2020,"2,348.98","2,351.03","2,355.51","2,337.17",1.76B,0.31%
01/14/2020,"2,349.12","2,354.56","2,359.56","2,336.13",1.93B,0.01%
01/15/2020,"2,336.78","2,340.83","2,349.02","2,328.53",1.98B,-0.53%
01/16/2020,"2,360.09","2,339.16","2,364.43","2,337.06",1.97B,1.00%
01/17/2020,"2,366.43","2,366.74","2,372.85","2,359.68",2.02B,0.27%
01/20/2020,"2,345.03","2,359.61","2,361.87","2,341.10",1.96B,-0.90%
01/21/2020,"2,321.83","2,334.51","2,341.59","2,318.99",2.51B,-0.99%
01/22/2020,"2,321.48","2,329.11","2,331.09","2,308.93",2.51B,-0.02%
01/23/2020,"2,320.90","2,314.51","2,327.58","2,308.74",2.07B,-0.02%
01/24/2020,"2,315.58","2,323.83","2,326.15","2,311.40",1.52B,-0.23%
01/27/2020,"2,238.95","2,276.22","2,278.83","2,229.21",2.73B,-3.31%
01/28/2020,"2,222.63","2,231.63","2,258.37","2,211.93",2.25B,-0.73%
01/29/2020,"2,243.29","2,239.66","2,249.31","2,219.86",2.01B,0.93%
01/30/2020,"2,240.05","2,228.73","2,243.93","2,226.88",1.76B,-0.14%
01/31/2020,"2,225.62","2,249.16","2,254.56","2,225.53",1.90B,-0.64%
2/3/2020,"2,198.82","2,214.71","2,227.34","2,198.44",1.88B,-1.20%
2/4/2020,"2,237.92","2,208.22","2,239.68","2,202.93",2.28B,1.78%
2/5/2020,"2,259.90","2,241.00","2,262.42","2,232.19",2.46B,0.98%
2/6/2020,"2,259.86","2,266.98","2,273.11","2,252.24",2.42B,0.00%
2/7/2020,"2,257.67","2,260.29","2,265.67","2,244.51",2.00B,-0.10%
2/11/2020,"2,238.11","2,262.97","2,264.84","2,236.65",1.87B,-0.87%
2/12/2020,"2,265.29","2,250.47","2,271.36","2,247.19",1.94B,1.21%
02/13/2020,"2,251.10","2,263.61","2,268.13","2,247.81",1.50B,-0.63%
02/14/2020,"2,241.63","2,258.51","2,263.47","2,237.89",2.08B,-0.42%
02/17/2020,"2,249.17","2,245.63","2,255.44","2,240.30",1.45B,0.34%
02/18/2020,"2,226.94","2,237.37","2,239.73","2,221.59",1.49B,-0.99%
02/19/2020,"2,216.85","2,233.71","2,243.93","2,210.91",2.00B,-0.45%
02/20/2020,"2,193.65","2,215.81","2,216.49","2,181.66",2.18B,-1.05%
02/21/2020,"2,201.09","2,174.08","2,201.23","2,170.95",1.95B,0.34%
02/24/2020,"2,109.99","2,165.90","2,168.13","2,109.99",2.56B,-4.14%
02/25/2020,"2,120.87","2,113.63","2,134.51","2,084.00",2.93B,0.52%
02/26/2020,"2,009.72","2,099.10","2,105.55","2,009.72",3.75B,-5.24%
02/27/2020,"2,056.39","2,019.01","2,062.85","1,993.18",2.76B,2.32%
02/28/2020,"1,969.26","1,980.35","1,998.32","1,961.35",2.96B,-4.24%
3/2/2020,"1,966.02","1,998.11","2,004.07","1,935.25",2.71B,-0.16%
3/3/2020,"2,030.75","2,004.51","2,040.68","1,992.75",2.64B,3.29%
3/4/2020,"2,033.22","2,007.84","2,039.16","2,002.39",2.02B,0.12%
3/5/2020,"2,048.82","2,053.49","2,079.48","2,048.82",2.37B,0.77%
3/6/2020,"2,004.37","2,019.37","2,022.43","1,996.56",1.96B,-2.17%
3/9/2020,"1,822.83","1,845.81","1,897.90","1,811.53",4.08B,-9.06%
3/10/2020,"1,848.86","1,835.43","1,874.98","1,828.04",2.91B,1.43%
3/11/2020,"1,813.25","1,843.83","1,867.11","1,790.71",2.62B,-1.93%
